code,name,:LABEL
E01000165,Barnet 022E,LSOA
E01000166,Barnet 003A,LSOA
E01000167,Barnet 002A,LSOA
E01000168,Barnet 003B,LSOA
E01000169,Barnet 003C,LSOA
E01000170,Barnet 006A,LSOA
E01000171,Barnet 006B,LSOA
E01000172,Barnet 003D,LSOA
E01000173,Barnet 006C,LSOA
E01000174,Barnet 006D,LSOA
E01000175,Barnet 006E,LSOA
E01000176,Barnet 027A,LSOA
E01000177,Barnet 029A,LSOA
E01000178,Barnet 027B,LSOA
E01000179,Barnet 029B,LSOA
E01000180,Barnet 029C,LSOA
E01000181,Barnet 029D,LSOA
E01000182,Barnet 029E,LSOA
E01000183,Barnet 033A,LSOA
E01000184,Barnet 027C,LSOA
E01000185,Barnet 029F,LSOA
E01000186,Barnet 014A,LSOA
E01000187,Barnet 014B,LSOA
E01000188,Barnet 014C,LSOA
E01000189,Barnet 014D,LSOA
E01000190,Barnet 014E,LSOA
E01000191,Barnet 014F,LSOA
E01000192,Barnet 018A,LSOA
E01000193,Barnet 018B,LSOA
E01000194,Barnet 018C,LSOA
E01000195,Barnet 013A,LSOA
E01000196,Barnet 028A,LSOA
E01000197,Barnet 023A,LSOA
E01000198,Barnet 025A,LSOA
E01000199,Barnet 025B,LSOA
E01000200,Barnet 028B,LSOA
E01000201,Barnet 028C,LSOA
E01000202,Barnet 028D,LSOA
E01000203,Barnet 028E,LSOA
E01000204,Barnet 025C,LSOA
E01000205,Barnet 035A,LSOA
E01000206,Barnet 033B,LSOA
E01000207,Barnet 033C,LSOA
E01000208,Barnet 033D,LSOA
E01000209,Barnet 035B,LSOA
E01000210,Barnet 033E,LSOA
E01000211,Barnet 035C,LSOA
E01000212,Barnet 035D,LSOA
E01000213,Barnet 033F,LSOA
E01000214,Barnet 038E,LSOA
E01000215,Barnet 037B,LSOA
E01000216,Barnet 035E,LSOA
E01000217,Barnet 035F,LSOA
E01000218,Barnet 037C,LSOA
E01000219,Barnet 037D,LSOA
E01000220,Barnet 037E,LSOA
E01000221,Barnet 039B,LSOA
E01000222,Barnet 040C,LSOA
E01000223,Barnet 039C,LSOA
E01000224,Barnet 040D,LSOA
E01000225,Barnet 037F,LSOA
E01000226,Barnet 018D,LSOA
E01000227,Barnet 018E,LSOA
E01000228,Barnet 007A,LSOA
E01000229,Barnet 013B,LSOA
E01000230,Barnet 013C,LSOA
E01000231,Barnet 013D,LSOA
E01000232,Barnet 013E,LSOA
E01000233,Barnet 013F,LSOA
E01000234,Barnet 021D,LSOA
E01000235,Barnet 021E,LSOA
E01000236,Barnet 034A,LSOA
E01000237,Barnet 032A,LSOA
E01000238,Barnet 034B,LSOA
E01000239,Barnet 031A,LSOA
E01000240,Barnet 031B,LSOA
E01000241,Barnet 031C,LSOA
E01000242,Barnet 032B,LSOA
E01000243,Barnet 032C,LSOA
E01000244,Barnet 032D,LSOA
E01000245,Barnet 032E,LSOA
E01000246,Barnet 002B,LSOA
E01000247,Barnet 002C,LSOA
E01000248,Barnet 001A,LSOA
E01000249,Barnet 001B,LSOA
E01000250,Barnet 001C,LSOA
E01000251,Barnet 002D,LSOA
E01000252,Barnet 002E,LSOA
E01000253,Barnet 007B,LSOA
E01000254,Barnet 001D,LSOA
E01000255,Barnet 017A,LSOA
E01000256,Barnet 016A,LSOA
E01000257,Barnet 017B,LSOA
E01000258,Barnet 016B,LSOA
E01000259,Barnet 025D,LSOA
E01000260,Barnet 025E,LSOA
E01000261,Barnet 017C,LSOA
E01000263,Barnet 016C,LSOA
E01000264,Barnet 016D,LSOA
E01000265,Barnet 011A,LSOA
E01000266,Barnet 011B,LSOA
E01000267,Barnet 005A,LSOA
E01000268,Barnet 005B,LSOA
E01000269,Barnet 005C,LSOA
E01000270,Barnet 005D,LSOA
E01000271,Barnet 008A,LSOA
E01000272,Barnet 008B,LSOA
E01000273,Barnet 008C,LSOA
E01000274,Barnet 011C,LSOA
E01000275,Barnet 012A,LSOA
E01000276,Barnet 020A,LSOA
E01000277,Barnet 012B,LSOA
E01000278,Barnet 020B,LSOA
E01000279,Barnet 007C,LSOA
E01000280,Barnet 007D,LSOA
E01000281,Barnet 008D,LSOA
E01000282,Barnet 008E,LSOA
E01000283,Barnet 012C,LSOA
E01000284,Barnet 012D,LSOA
E01000285,Barnet 004A,LSOA
E01000286,Barnet 007E,LSOA
E01000287,Barnet 004B,LSOA
E01000288,Barnet 004C,LSOA
E01000289,Barnet 004D,LSOA
E01000290,Barnet 007F,LSOA
E01000291,Barnet 004E,LSOA
E01000292,Barnet 001E,LSOA
E01000293,Barnet 001F,LSOA
E01000294,Barnet 004F,LSOA
E01000295,Barnet 023B,LSOA
E01000296,Barnet 023C,LSOA
E01000297,Barnet 027D,LSOA
E01000298,Barnet 023D,LSOA
E01000299,Barnet 019A,LSOA
E01000300,Barnet 019B,LSOA
E01000301,Barnet 020C,LSOA
E01000302,Barnet 019C,LSOA
E01000303,Barnet 020D,LSOA
E01000304,Barnet 020E,LSOA
E01000305,Barnet 036B,LSOA
E01000306,Barnet 036C,LSOA
E01000307,Barnet 039D,LSOA
E01000308,Barnet 036D,LSOA
E01000309,Barnet 031D,LSOA
E01000310,Barnet 034C,LSOA
E01000311,Barnet 034D,LSOA
E01000312,Barnet 036E,LSOA
E01000313,Barnet 036F,LSOA
E01000314,Barnet 032F,LSOA
E01000315,Barnet 022F,LSOA
E01000316,Barnet 027E,LSOA
E01000317,Barnet 019D,LSOA
E01000318,Barnet 019E,LSOA
E01000319,Barnet 027F,LSOA
E01000320,Barnet 011D,LSOA
E01000321,Barnet 012E,LSOA
E01000322,Barnet 011E,LSOA
E01000323,Barnet 019F,LSOA
E01000324,Barnet 015F,LSOA
E01000325,Bexley 014A,LSOA
